gameId,gameDate,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameId,gameType,gameLabel,gameSubLabel,seriesGameNumber
22300436,2023-12-29 21:00:00,Phoenix,Suns,1610612756,Charlotte,Hornets,1610612766,1,1,133,119,34.0,11.0,3.0,74.0,46.0,0.622,30.0,18.0,0.6,24.0,23.0,0.958,33.0,6.0,39.0,14.0,15.0,14.0,240.0,,,,,,,,,,,,,,,,,,22300436,Regular Season,,,
22300215,2023-11-19 21:00:00,Oklahoma City,Thunder,1610612760,Portland,Trail Blazers,1610612757,0,1,134,91,28.0,3.0,8.0,81.0,49.0,0.605,36.0,22.0,0.611,14.0,14.0,1.0,33.0,10.0,43.0,18.0,18.0,43.0,240.0,,,,,,,,,,,,,,,,,,22300215,Regular Season,,,
21800342,2018-12-02 19:00:00,San Antonio,Spurs,1610612759,Portland,Trail Blazers,1610612757,1,1,131,118,29.0,4.0,5.0,83.0,50.0,0.602,15.0,11.0,0.733,22.0,20.0,0.909,29.0,5.0,34.0,15.0,12.0,13.0,240.0,,,,,,,,,,,,,,,,,,21800342,Regular Season,,,
21700916,2018-02-28 19:30:00,Boston,Celtics,1610612738,Charlotte,Hornets,1610612766,1,1,134,106,31.0,4.0,3.0,87.0,54.0,0.621,20.0,12.0,0.6,15.0,14.0,0.933,43.0,4.0,47.0,20.0,11.0,28.0,240.0,,,,,,,,,,,,,,,,,,21700916,Regular Season,,,
21100941,2012-04-20 21:30:00,San Antonio,Spurs,1610612759,Los Angeles,Lakers,1610612747,1,1,121,97,27.0,5.0,9.0,77.0,47.0,0.61,15.0,10.0,0.667,18.0,17.0,0.944,31.0,11.0,42.0,22.0,16.0,24.0,240.0,,,,,,,,,,,,,,,,,,21100941,Regular Season,,,
20801143,2009-04-05 15:30:00,Dallas,Mavericks,1610612742,Phoenix,Suns,1610612756,1,1,140,116,34.0,7.0,6.0,85.0,51.0,0.6,25.0,15.0,0.6,25.0,23.0,0.92,25.0,12.0,37.0,29.0,16.0,24.0,240.0,,,,,,,,,,,,,,,,,,20801143,Regular Season,,,
29900474,2000-01-09 18:00:00,Minnesota,Timberwolves,1610612750,Philadelphia,76ers,1610612755,0,1,123,112,37.0,6.0,3.0,81.0,52.0,0.642,6.0,4.0,0.667,16.0,15.0,0.938,24.0,12.0,36.0,25.0,12.0,11.0,240.0,,,,,,,,,,,,,,,,,,29900474,Regular Season,,,
29400933,1995-03-29 20:00:00,Cleveland,Cavaliers,1610612739,Indiana,Pacers,1610612754,0,0,96,107,25.0,2.0,8.0,63.0,38.0,0.603,8.0,6.0,0.75,15.0,14.0,0.933,18.0,4.0,22.0,26.0,17.0,-11.0,240.0,,,,,,,,,,,,,,,,,,29400933,Regular Season,,,
29400922,1995-03-27 20:00:00,Utah,Jazz,1610612762,Washington,Bullets,1610612764,1,1,128,102,39.0,4.0,10.0,84.0,51.0,0.607,8.0,5.0,0.625,23.0,21.0,0.913,35.0,10.0,45.0,21.0,17.0,26.0,240.0,,,,,,,,,,,,,,,,,,29400922,Regular Season,,,
29100932,1992-03-25 20:00:00,Indiana,Pacers,1610612754,Washington,Bullets,1610612764,0,1,131,109,32.0,4.0,8.0,85.0,54.0,0.635,10.0,7.0,0.7,17.0,16.0,0.941,34.0,7.0,41.0,18.0,13.0,22.0,240.0,,,,,,,,,,,,,,,,,,29100932,Regular Season,,,
29100050,1991-11-07 20:00:00,New York,Knicks,1610612752,Orlando,Magic,1610612753,1,1,128,100,36.0,5.0,3.0,79.0,50.0,0.633,11.0,7.0,0.636,23.0,21.0,0.913,34.0,5.0,39.0,29.0,16.0,28.0,240.0,,,,,,,,,,,,,,,,,,29100050,Regular Season,,,
28900876,1990-03-20 20:00:00,San Antonio,Spurs,1610612759,Seattle,SuperSonics,1610612760,0,1,128,106,30.0,7.0,6.0,86.0,53.0,0.616,1.0,1.0,1.0,22.0,21.0,0.955,30.0,18.0,48.0,20.0,16.0,22.0,240.0,,,,,,,,,,,,,,,,,,28900876,Regular Season,,,
28700736,1988-03-20 20:00:00,Boston,Celtics,1610612738,Chicago,Bulls,1610612741,1,1,137,107,40.0,5.0,7.0,89.0,54.0,0.607,6.0,4.0,0.667,27.0,25.0,0.926,35.0,6.0,41.0,25.0,8.0,30.0,240.0,,,,,,,,,,,,,,,,,,28700736,Regular Season,,,
28600895,1987-04-11 20:00:00,Phoenix,Suns,1610612756,San Antonio,Spurs,1610612759,1,1,136,116,43.0,5.0,8.0,98.0,62.0,0.633,3.0,2.0,0.667,11.0,10.0,0.909,26.0,14.0,40.0,17.0,13.0,20.0,240.0,,,,,,,,,,,,,,,,,,28600895,Regular Season,,,
