word,graphemes,phonemes
ABORIGINAL,A B OR I G I N A L,AE B ER IH JH AH N AH L
ACADEMIC,A C A D E M I C,AE K AH D EH M IH K
ACCOMPLISH,A CC O M P L I SH,AH K AA M P L IH SH
ACHIEVE,A CH IE VE,AH CH IY V
ADMIRE,A D M I RE,AE D M AY R
AESTHETIC,AE S TH E T I C,EH S TH EH T IH K
ANALYTICAL,A N A L Y T I C A L,AE N AH L IH T IH K AH L
ANTHOLOGY,A N TH O L O G Y,AE N TH AO L AH JH IY
ARTISTIC,A R T I S T I C,AA R T IH S T IH K
BENEFICIAL,B E N E F I CI A L,B EH N AH F IH SH AH L
BIOCHEMICAL,B I O CH E M I C A L,B AY OW K EH M IH K AH L
BIOPHYSICS,B I O PH Y S I C S,B AY OW F IH S IH K S
BOTANICAL,B O T A N I C A L,B AH T AE N IH K AH L
CENTAURI,C E N T AU R I,S EH N T AA R IY
COGNITIVE,C O G N I T I VE,K AA G N IH T IH V
COMET,C O M E T,K AA M AH T
COMPOSE,C O M P O SE,K AH M P OW Z
CORAL,C O R A L,K AO R AH L
COSMOS,C O S M O S,K AA Z M OW S
COURAGE,C OUR A GE,K ER IH JH
CREATIVE,C R E A T I VE,K R IY EY T IH V
CREATIVE,C R E A T I VE,K R IY EY T IH V
DIALECTIC,D I A L E C T I C,D AY AH L EH K T IH K
DIAMETER,D I A M E T ER,D AY AE M AH T ER
DISCOVERY,D I S C O V ER Y,D IH S K AH V ER IY
DRAMATIC,D R A M A T I C,D R AH M AE T IH K
EARTHLY,EAR TH L Y,ER TH L IY
ECLIPSE,E C L I P SE,IH K L IH P S
ECOSYSTEM,E C O S Y S T E M,IY K OW S IH S T AH M
EDUCATE,E D U C A TE,EH JH AH K EY T
ENLIGHTEN,E N L IGH T E N,EH N L AY T AH N
EPISTEMIC,E P I S T E M I C,EH P IH S T EH M IH K
EQUATION,E Q U A TI O N,IH K W EY ZH AH N
FLORA,F L O R A,F L AO R AH
FLOURISH,F L OUR I SH,F L ER IH SH
FOREST,F O R E S T,F AO R AH S T
GEOMETRIC,G E O M E T R I C,JH IY AH M EH T R IH K
HARMONIZE,H A R M O N I ZE,HH AA R M AH N AY Z
HEATHER,H EA TH ER,HH EH DH ER
HOLLY,H O LL Y,HH AA L IY
HOPE,H O PE,HH OW P
HORNBILL,H O R N B I LL,HH AO R N B IH L
HYDRATION,H Y D R A TI O N,HH AY D R EY SH AH N
HYDROLYZE,H Y D R O L Y ZE,HH AY D R AH L AY Z
HYGROMETER,H Y G R O M E T ER,HH AY G R AA M AH T ER
HYPERSPACE,H Y P ER S P A CE,HH AY P ER S P EY S
HYPOTHESES,H Y P O TH E S E S,HH AY P AA TH AH S IY Z
IMAGERY,I M A GE R Y,IH M AH JH R IY
IMAGINES,I M A G I NE S,IH M AE JH AH N Z
IMMENSELY,I MM E N SE L Y,IH M EH N S L IY
IMMORTALIZE,I MM O R T A L I ZE,IH M AO R T AH L AY Z
IMPRESSIVE,I M P R E SS I VE,IH M P R EH S IH V
IMPROVE,I M P R O VE,IH M P R UW V
INFINITY,I N F I N I T Y,IH N F IH N IH T IY
INITIAL,I N I TI A L,IH N IH SH AH L
INNOVATE,I NN O V A TE,IH N AH V EY T
INQUIRY,I N Q U I R Y,IH N K W AY R IY
INSPIRING,I N S P I R I NG,IH N S P AY R IH NG
INTERACT,I N T ER A C T,IH N T ER AE K T
INTREPID,I N T R E P I D,IH N T R EH P AH D
INTUITIVELY,I N T U I T I VE L Y,IH N T UW IH T IH V L IY
INVENTIVE,I N V E N T I VE,IH N V EH N T IH V
ITERATIVE,I T ER A T I VE,IH T ER EY T IH V
IVY,I V Y,AY V IY
JOURNEY,J OUR N EY,JH ER N IY
JOY,J OY,JH OY
JUBILEE,J U B I L EE,JH UW B AH L IY
KANGAROO,K A N G AR OO,K AE NG G ER UW
KATYDID,K A T Y D I D,K EY T IY D IH D
KINDLY,K I N D L Y,K AY N D L IY
KITTEN,K I TT E N,K IH T AH N
KNOWLEDGE,KN OW L E DGE,N AA L AH JH
LAB,L A B,L AE B
LAKE,L A KE,L EY K
LAMB,L A MB,L AE M
LAUGHTER,L AU GH T ER,L AE F T ER
LAZULI,L A Z U L I,L AH Z UW L IY
LEARNING,L EAR N I NG,L ER N IH NG
LECTURE,L E C T URE,L EH K CH ER
LESSON,L E SS O N,L EH S AH N
LETTERPRESS,L E TT ER P R E SS,L EH T ER P R EH S
LEVEE,L E V EE,L EH V IY
LIBERTY,L I B ER T Y,L IH B ER T IY
LIBRETTO,L I B R E TT O,L IH B R EH T OW
LIFETIME,L I FE T I ME,L AY F T AY M
LIKELIHOOD,L I KE L I H OO D,L AY K L IY HH UH D
LINGUISTICS,L I N G U I S T I C S,L IH NG G W IH S T IH K S
LIONHEART,L I O N H EA R T,L AY AH N HH AA R T
LIQUID,L I Q U I D,L IH K W AH D
LITERAL,L I T ER A L,L IH T ER AH L
LITTORAL,L I TT OR A L,L IH T ER AH L
LIVELIHOOD,L I VE L I H OO D,L AY V L IY HH UH D
LODESTAR,L O DE S T A R,L OW D S T AA R
LOESS,L O E SS,L OW AH S
